"player","position","game_num","week_num","gs","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","two_pt_md","all_td","scoring","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","status","reason","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","safety_md","year"
"Jamal Agnew","WR","19","20","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.00","0","3","2","5","2.50","0","66.7%","1.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","0","11","18%","0","0%","10","36%","0",NA,"3","23","7.67","0","3","131","43.67","0",NA,2022
"Salvon Ahmed","RB","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","8","27%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","4","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","2","7%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","6","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","2","6%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","7","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","1","4%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","8","8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.00","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","9","9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","6","23%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","10","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11","3.67","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","10%","0","0%","5","22%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","13","14","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1.00","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","10%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","14","15","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","43","7.17","1","0","0","0","0","0","0.0%","0",NA,"1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","24%","0","0%","0","0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","15","16","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0%","0","0%","8","31%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","16","17","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","8","8.00","0","100.0%","8.00",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3%","0","0%","2","7%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","17","18","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","7.00","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6%","0","0%","4","18%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Salvon Ahmed","RB","18","19","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","0.60","0","5","3","45","15.00","0","60.0%","9.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","49%","0","0%","10","28%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Brandon Aiyuk","WR","1","1","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","7.00","0","3","2","40","20.00","0","66.7%","13.33",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","67","99%","0","0%","0","0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Brandon Aiyuk","WR","2","2","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","8","5","63","12.60","0","62.5%","7.88",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","67","88%","0","0%","0","0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Brandon Aiyuk","WR","3","3","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","8","3","39","13.00","1","37.5%","4.88",NA,"1","6","0.0","0","0","0","0","0","0","0","0","0","0","0","50","89%","0","0%","0","0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"Brandon Aiyuk","WR","4","4","*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","4","4","37","9.25","0","100.0%","9.25",NA,"0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","46","92%","0","0%","0","0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
